order_id,order_date,customer_id,product,category,quantity,unit_price,region
ORD-1001,2026-01-02,CUST-001,Wireless Mouse,Electronics,2,799,South
ORD-1002,2026-01-02,CUST-002,Office Chair,Furniture,1,6500,West
ORD-1003,2026-01-03,CUST-003,Notebook,Stationery,5,60,South
ORD-1004,2026-01-03,CUST-004,Keyboard,Electronics,1,1200,North
ORD-1005,2026-01-04,CUST-005,Desk Lamp,Furniture,2,850,East
ORD-1005,2026-01-04,CUST-005,Desk Lamp,Furniture,2,850,East
ORD-1006,2026-01-05,CUST-006,USB Cable,Electronics,,250,South
ORD-1007,invalid-date,CUST-007,Pen,Stationery,10,25,West
ORD-1008,2026-01-06,CUST-008,Monitor,Electronics,1,-12000,North
ORD-1009,2026-01-07,CUST-009,Desk,Furniture,1,7500,
ORD-1010,2026-01-08,CUST-010,Notebook,Stationery,3,60,South
